Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;Architecture_note;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Food.source;Material;Context;Context_summary;Source;MainBibliography;Bibliography;Observations;Excluded;Reason_for_exclusion
Portugal;38,37991;-7,52025;629248;4249004;South;Tholos de Farisoa 1b;Tholos;n/a;OxTL-169j_j2;2900;320;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Ceramic shard;Context n/a. Dated by TL;n/a;"Whittle, Arnaud 1975; Boaventura 2011";"Whittle, Arnaud 1975; Boaventura 2011";Whittle, Arnaud 1975/Boaventura 2011/Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Beta-301935;2910;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Aranda Jimenez, 2015;n/a;n/a;n/a;No;n/a
Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;n/a;CNA-2276;2945;40;-20,24;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Portugal;38,030767;-7,617345;621345;4210130;South;Centirã 2;Tholos;n/a;Sac-2789;2950;80;-20,3;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Corridor;Corridor;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39501;3018;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;36,83798865;-2,207230234;1106074;4098498;South;El Barranquete 10;Tholos;;Beta-436484;3020;30;-18,6;10,6;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Spain;36,83798865;-2,207230234;1106074;4098498;South;El Barranquete 10;Tholos;n/a;CNA-3256;3037;31;-18,5;10,3;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Passage;Corridor;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;n/a;CNA-2273;3045;40;-21,09;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;36,84316793;-2,207241097;1106032;4099074;South;El Barranquete 8;Tholos;n/a;CNA-3237;3083;32;-19,2;9,4;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Layer 1;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Spain;39,967973;3,88045;1601565;4504480;East;Cova de Sant Joan de Missa;Rock-cut-tomb, artificial cave & hypogeum;n/a;IRPA-1136;2460;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Chamber;Chamber;Mico Perez  2005;n/a;Mico Perez  2005;Geographic coordinates approximated;No;n/a
Spain;37,83363959;-4,408508712;904137;4197301;South;Alcaide Fosa B;Rock-cut-tomb, artificial cave & hypogeum;n/a;GrN-19199;3090;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Marques y Agudo 2012;Marques y Agudo 2012;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;39,865038;4,14709;1626154;4496400;East;Calescoves;Rock-cut-tomb, artificial cave & hypogeum;n/a;KIA-12680;2470;35;-19,71;10,79;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mound soil;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;39,865038;4,14709;1626154;4496400;East;Calescoves;Rock-cut-tomb, artificial cave & hypogeum;n/a;KIA-12681;2475;25;-19,89;9,08;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mound soil;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;39,865038;4,14709;1626154;4496400;East;Calescoves;Rock-cut-tomb, artificial cave & hypogeum;n/a;KIA-12679;2480;25;-20,31;10,71;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mound soil;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
