Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;Architecture_note;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Food.source;Material;Context;Context_summary;Source;MainBibliography;Bibliography;Observations;Excluded;Reason_for_exclusion
Spain;42,9836118;-2,2118882;1053525;4781405;North;Atxurbi;Cist;n/a;Ua-12079;3765;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Below basement of the chamber;Paleosol;Mujika Alustiza 2017, 95/Mujika Alustiza et al 2017;n/a;Mujika Alustiza 2017, 95/Mujika Alustiza et al 2017;n/a;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;SUERC-72324;3898;30;n/a;8;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. First section of passage. Fibula from a juvenile;Corridor;Aranda Jimenez et al 2017, Tab 18;n/a;n/a;n/a;No;n/a
Spain;42,5807056;-2,6528964;1020935;4733820;Ebro basin;Dolmen de Layaza;Passage grave;n/a;Beta-317864;3770;30;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;n/a;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;No;n/a
Spain;42,68591;-3,81131;925116;4739005;Ebro basin;San Quirce;Passage grave;n/a;GrN-14493;3770;190;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Level 6;n/a;Delibes 2000;n/a;Delibes 2000;n/a;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;ETH-69964;3899;24;-20,1;8,8;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. Funerary chamber. Left femur;Chamber;Aranda Jimenez et al 2017, Tab 15;n/a;n/a;n/a;No;n/a
Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;n/a;CSIC-647;3900;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Castav±o et al 1991;Castav±o et al 1991;Lozano Medina 2017;n/a;No;n/a
Spain;42,69344028;-1,146320468;1143474;4756775;Ebro basin;Faulo;Dolmen;n/a;GrA-13667;3780;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;n/a;No;n/a
Portugal;38,3906;-7,4847;632334;4250241;South;Anta 2 da Herdade dos Cebolinhos;Passage grave;n/a;Beta-176899;3900;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Chamber;Gonvßalvez 2003;n/a;Gonvßalvez 2003;n/a;No;n/a
Portugal;38,030767;-7,617345;621345;4210130;South;Centirã 2;Tholos;n/a;Sac-2790;3900;45;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial 2;Funerary area;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;n/a;No;n/a
Spain;40,22526;-3,7873;943591;4465810;Tagus basins;Humanejos;Varia;n/a;Ua-40217;3781;36;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial;Funerary area;Blasco et al 2011;Bueno Ramirez et al 2016;Blasco et al 2011/Bueno Ramirez et al 2016;n/a;Yes;Non megalithic site
Portugal;38,069986;-8,128385;576453;4213938;South;Cardim 6;Tholos;n/a;SANU-53106;3905;25;-18,9;9,9;n/a;n/a;n/a;n/a;n/a;Human teeth;Phase 1.S.U. 415;n/a;Valera et al 2019;n/a; Valera et al 2019;n/a;No;n/a
Spain;36,84287254;-2,206617462;1106090;4099045;South;El Barranquete 9;Tholos;n/a;ETH-66528;3905;25;-19,2;9,4;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Passage. 2nd section;Corridor;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Portugal;38,693395;-9,372155;467635;4282818;Tagus basins;S. Pedro do Estoril 1;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-178468;3790;40;-19,6;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Gonvßalves 2005;Gonvßalves 2005;Lozano Medina 2017;n/a;No;n/a
Spain;39,9869;-4,2033;909607;4437335;Tagus basins;Valle de las Higueras 3;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-157729;3790;40;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants mainly;Human bone;n/a;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;No;n/a
Spain;41,594166;2,413889;1451978;4668113;East;Costa de Can Martorell;Rock-cut-tomb, artificial cave & hypogeum;n/a;Ly-7838;3795;55;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Access. Inferior level;Paleosol;Idearq.org/Aliaga i Rodrigo 2003;Mercadal 2003, 221-228;Idearq.org/Aliaga i Rodrigo 2003;n/a;No;n/a
Spain;37,40986043;-6,059052883;760292;4144401;South;Montelirio;Tholos;n/a;Erl-17299;3905;74;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Ivory;Megalithic grave;Funerary area;Garcia Sanjuan et al 2008;n/a;Garcia Sanjuan et al 2008;n/a;No;n/a
Portugal;38,4958;-8,0609;581893;4261245;South;Vale de Rodrigo 2;Passage grave;n/a;Ua-10831;3905;75;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Charcoal by an artifact accumulation in front of the corridor;Funerary area;Larsson 2000, 451;n/a;Larsson 2000, 451;n/a;No;n/a
Spain;40,22526;-3,7873;943591;4465810;Tagus basins;Humanejos;Varia;n/a;Ua-43525;3797;32;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human teeth;Funerary deposit;Funerary area;Olalde et al 2018;n/a;Olalde et al 2018;n/a;Yes;Non megalithic site
Portugal;41,2045;-8,0187;582273;4561923;Duero basins;Meninas do Crasto 4;Dolmen;Chamber destroyed. Cairn with lithic ring;CSIC-660;3800;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Burial ?;Funerary area;Mu¬Åller 1998, 82;Criado Boado, Fabregas Valcarce 1989;Mu¬Åller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a;No;n/a
Spain;42,679546;-1,147315;1143537;4755223;Ebro basin;Corona de Hualde;Dolmen;Cistoid structure with cuadrangular shape of 1.10 x 0.80 m;GrA-13665;3800;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;n/a;No;n/a
Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;n/a;CSIC-646;3910;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Castav±o et al 1991;Castav±o et al 1991;Lozano Medina 2017;n/a;No;n/a
Portugal;39,70854;-7,98336;587148;4395902;Tagus basins;Anta de Lajinha;Passage grave;n/a;ITNLUM-206;3800;300;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Regolith (quartz);Chamber. Dated by OSL;Chamber;Burbidge et al 2014;n/a;Burbidge et al 2014/Lozano Medina 2017;n/a;No;n/a
Portugal;39,70854;-7,98336;587148;4395902;Tagus basins;Anta de Lajinha;Passage grave;n/a;ITNLUM-438;3800;300;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Regolith (quartz);Mound base. Dated by OSL;Mound soil;Burbidge et al 2014;n/a;Burbidge et al 2014/Lozano Medina 2017;n/a;No;n/a
Portugal;38,5391;-8,01428;585907;4266092;South;Anta Grande do Zambujeiro;Passage grave;n/a;Beta-243693;3910;40;-22,6;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Negative structure in the entrance;Mound soil;Soares, Silva 2010;n/a;Soares, Silva 2010;n/a;No;n/a
Portugal;41,4839;-7,4019;633417;4593709;Duero basins;Mamoa do Castelo 1;Passage grave;n/a;CSIC-1816;3806;32;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Under stones of tumulus;Paleosol;Sanches et al 2005;n/a;Sanches et al 2005;n/a;No;n/a
Spain;41,594166;2,413889;1451978;4668113;East;Costa de Can Martorell;Rock-cut-tomb, artificial cave & hypogeum;n/a;Ly-7837;3810;55;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Level down;Chamber;Idearq.org/Aliaga i Rodrigo 2003;n/a;Idearq.org/Aliaga i Rodrigo 2003;n/a;No;n/a
Spain;37,36603124;-3,297747516;1005142;4150763;South;Panoria 7;Varia;Cistoid structure with corridor;Beta-448209;3910;30;n/a;9,9;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 7 funerary chamber. Left radius from an adult;Chamber;Aranda Jimenez et al 2017, Tab 5;n/a;n/a;n/a;No;n/a
Spain;36,96454267;-2,522625867;1076940;4110597;South;Los Millares 75;Tholos;n/a;SUERC-82839;3917;25;-18,9;12,2;n/a;n/a;n/a;n/a;n/a;Human teeth;Funerary chamber. Human Tooth 34 (adult);Chamber;Aranda Jimenez et al. 2020;n/a;Aranda Jimenez et al. 2020;Geographic coordinates approximated;No;n/a
Spain;37,14110374;-1,852472269;1135229;4134519;South;Loma de Belmonte;Tholos;n/a;SUERC-86842;3920;34;-19,1;10,9;n/a;n/a;n/a;n/a;n/a;Human teeth;Funerary chamber. Human Tooth 36 (adult);Chamber;Aranda Jimenez et al. 2021;n/a;Aranda Jimenez et al. 2021;Geographic coordinates approximated;No;n/a
Spain;39,9915;-4,2092;909075;4437819;Tagus basins;El Castillejo;Tumulus;n/a;Beta-145274;3810;70;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Platform;n/a;Garcia Sanjuan et al 2011;Bueno Ramirez et al 2000;Garcia Sanjuan et al 2011/Bueno Ram¬°rez et al 2000;n/a;No;n/a
Spain;39,9869;-4,2033;909607;4437335;Tagus basins;Valle de las Higueras 3;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-157730;3810;40;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants mainly;Human bone;n/a;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;No;n/a
Spain;40,43529;-3,52166;964759;4490506;Tagus basins;Camino de las Yeseras;Varia;n/a;Ua-39312;3819;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Individual 4;Funerary area;Blasco et al 2014;n/a;Blasco et al 2014;Geographic coordinates approximated;Yes;Non megalithic site
Spain;43,4244;-7,85972;592300;4808576;North;Mourela 7;Varia;Polygonal chamber;CSIC-977;3820;35;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Floor of the chamber;Mound soil;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Fabregas Valcarce 1990-1991;n/a;No;n/a
Spain;43,4964;-7,895;589338;4816534;North;Reboredo 1;Tumulus;n/a;GrN-19214;3820;70;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Hearth by the chamber;Mound;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Vaquero Lastres 1995;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Vaquero Lastres 1995;n/a;Yes;Bronze age site
Spain;37,5586;-6,7353;700033;4159253;South;Los Gabrieles 4;Passage grave;Angled corridor;Beta-185649;3920;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Tomb 3. Burial chamber (layer 4);Chamber;Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;Geographic coordinates approximated;No;n/a
Spain;36,96373691;-2,52260637;1076948;4110507;South;Los Millares 18;Tholos;n/a;CNA4453;3920;30;-18,7;8,8;n/a;n/a;n/a;n/a;n/a;Human bone;Funerary chamber;Chamber;Molina González et al. 2020;n/a;Molina González et al. 2020;Geographic coordinates approximated;No;n/a
Portugal;38,8973;-9,43436;462333;4305469;Tagus basins;Samarra;Tholos;Typology under discussion;Sac-1827;3820;60;-20,5;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Chamber;Silva et al 2006;n/a;Silva et al 2006;n/a;No;n/a
Portugal;41,2045;-8,0187;582273;4561923;Duero basins;Meninas do Crasto 4;Dolmen;Chamber destroyed. Cairn with lithic ring;CSIC-661;3830;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Burial ?;Funerary area;Mu¬Åller 1998, 82;Criado Boado, Fabregas Valcarce 1989;Mu¬Åller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a;No;n/a
Spain;42,7227;-7,9069;589496;4730601;North;Coto dos Mouros;Passage grave;n/a;CAMS-83116;3830;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Painting with black charcoal;Painting;Steelman et al 2005;n/a;Steelman et al 2005;n/a;No;n/a
Spain;37,3574;-2,363482;1088064;4155239;South;La Atalaya 6;Rundgraber & calero tomb;With corridor;ETH-74309;3922;20;-16,4;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 6;Funerary area;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated;No;n/a
Spain;36,8411;-2,2064;1106124;4098849;South;El Barranquete 11;Tholos;n/a;CNA-2405;3925;35;-20,19;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Human right humerus from an adult female (21-40 years old). Layer IV;Chamber;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a;No;n/a
Spain;37,3574;-2,363482;1088064;4155239;South;La Atalaya 6;Rundgraber & calero tomb;With corridor;ETH-74310;3925;20;-16,6;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 6;Funerary area;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated;No;n/a
Spain;37,3574;-2,363482;1088064;4155239;South;La Atalaya 6;Rundgraber & calero tomb;With corridor;ETH-74311;3928;20;-15,3;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 6;Funerary area;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated;No;n/a
Portugal;38,693395;-9,372155;467635;4282818;Tagus basins;S. Pedro do Estoril 1;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-178467;3830;40;-19,4;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Gonvßalves 2005;Gonvßalves 2005;Lozano Medina 2017;n/a;No;n/a
Spain;39,9869;-4,2033;909607;4437335;Tagus basins;Valle de las Higueras 3;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-157732;3830;40;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants mainly;Human bone;Antechamber;Funerary area;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;No;n/a
Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Passage grave;n/a;Beta-89990;3840;70;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Entrance chamber;Mound soil;Boaventura 2009;Lopez de Calle, Llarraza 1997;Boaventura 2009/Lopez de Calle, Llarraza 1997;n/a;No;n/a
Spain;37,41319635;-6,064496574;759799;4144756;South;La Pastora;Tholos;n/a;CNA-1283;3929;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Corridor;Corridor;Garcia Sanjuan et al 2008;n/a;Garcia Sanjuan et al 2008;;No;n/a
Portugal;38,44117124;-7,548947519;626634;4255762;South;Perdigões 4;Tholos;n/a;Beta-517339;3930;30;-19,4;8,5;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber. Phase II;Chamber;Valera 2020;n/a;Valera 2020;Geographic coordinates approximated;No;n/a
Spain;36,96511165;-2,522866906;1076914;4110659;South;Los Millares 71;Tholos;n/a;SUERC-86917;3938;34;-18,8;9,6;n/a;n/a;n/a;n/a;n/a;Human teeth;Funerary chamber. Human Tooth 37 (adult);Chamber;Aranda Jimenez et al. 2020;n/a;Aranda Jimenez et al. 2020;Geographic coordinates approximated;No;n/a
Spain;39,6556;-7,51472;627420;4390587;Tagus basins;Joaninha;Passage grave;n/a;Sac-1381;3840;170;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Garcia Sanjuan 2006, 153;Oliveira 1998;Garcia Sanjuan 2006, 153/Oliveira 1998;n/a;No;n/a
Spain;36,84316793;-2,207241097;1106032;4099074;South;El Barranquete 8;Tholos;n/a;CNA-3233;3939;36;-19;10,1;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Layer 2;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Portugal;38,069986;-8,128385;576453;4213938;South;Cardim 6;Tholos;n/a;SANU-53101;3940;25;-18,8;10,7;n/a;n/a;n/a;n/a;n/a;Human teeth;Phase 1. S.U. 415;n/a;Valera et al 2019;n/a; Valera et al 2019;n/a;No;n/a
Portugal;41,02;-8,05;579872;4541411;Duero basins;Cabras;Varia;No evidence of megalithic chamber;CSIC-1057;3850;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface ancient soil;Paleosol;Stockler 1998;n/a;Stockler 1998;n/a;No;n/a
Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;n/a;Beta-321418;3850;30;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;n/a;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;No;n/a
Portugal;38,030767;-7,617345;621345;4210130;South;Centirã 2;Tholos;n/a;Sac-2791;3940;50;-20,2;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Lozano Medina, Aranda Jimenez 2017;n/a;Lozano Medina, Aranda Jimenez 2017;n/a;No;n/a
Spain;37,6129;-6,5368;717411;4165720;South;Puerto de los Huertos;Gallery sepulchre;Rectilinear gallery;CNA-344;3940;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Linares, Garcia Sanjuan 2010;Linares, Garcia Sanjuan 2010;Lozano Medina 2017;n/a;No;n/a
Portugal;38,69353452;-9,372452638;467609;4282834;Tagus basins;S. Pedro do Estoril 2;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-178466;3850;40;-19,6;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Gonvßalves 2005;Gonvßalves 2005;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;ETH-69967;3941;24;-19;8,3;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. Funerary chamber. Left femur;Chamber;Aranda Jimenez et al 2017, Tab 14;n/a;n/a;n/a;No;n/a
Spain;43,4794;-7,88361;590284;4814658;North;Illade 3;Tumulus;n/a;GrN-19213;3855;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Vaquero Lastres 1995;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Vaquero Lastres 1995;Geographic coordinates approximated;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;EHT-69966;3942;24;-21,2;8;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. Funerary chamber. Left femur;Chamber;Aranda Jimenez et al 2017, Tab 13;n/a;n/a;n/a;No;n/a
Spain;36,96454267;-2,522625867;1076940;4110597;South;Los Millares 75;Tholos;n/a;SUERC-80506;3943;30;-19,3;8,8;n/a;n/a;n/a;n/a;n/a;Human teeth;Funerary chamber. Human Tooth 37 (adult);Chamber;Aranda Jimenez et al. 2020;n/a;Aranda Jimenez et al. 2020;Geographic coordinates approximated;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;ETH-69962;3945;24;-19,2;8,5;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. Second section of the passage. Left femur;Corridor;Aranda Jimenez et al 2017, Tab 12;n/a;n/a;n/a;No;n/a
Spain;41,17695193;-2,540366302;1041962;4578560;Duero basins;Tumulo de la Sima II;Tholos;n/a;KIA-17999;3860;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Rojo et al 2008;n/a;Rojo et al 2008;n/a;No;n/a
Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Passage grave;n/a;Beta-89988;3860;70;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Chamber;IDEArq.org;n/a;n/a;n/a;No;n/a
Spain;42,993359;-2,11337;1061472;4783144;North;Ondarre;Cist;n/a;B-413479;3860;30;n/a;n/a;n/a;n/a;n/a;n/a;Mainly meat;Charcoal;n/a;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a;No;n/a
Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;n/a;CSIC-644;3950;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Castav±o et al 1991;Castav±o et al 1991;Lozano Medina 2017;n/a;No;n/a
Spain;38,10186836;-1,857287244;1126630;4241290;South;Camino del Molino;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-244974;3950;60;-19;10,2;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Lomba et al 2009;Lomba et al 2009;Lozano Medina 2017/Lomba et al 2009;n/a;No;n/a
Spain;37,40986043;-6,059052883;760292;4144401;South;Montelirio;Tholos;n/a;CNA-587;3950;70;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;n/a;n/a;Fernandez Flores, Aycart 2013/Diaz Zorita 2013/Bayliss et al 2016/Bayliss et al 2017/Fontanals-Coll et al 2016/Lozano Medina 2017/Garcia Sanjuan et al 2018;n/a;Fernandez Flores, Aycart 2013/Diaz Zorita 2013/Bayliss et al 2016/Bayliss et al 2017/Fontanals-Coll et al 2016/Lozano Medina 2017/Garcia Sanjuan et al 2018;n/a;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;ETH-69970;3954;24;-19,8;8,4;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. Funerary chamber. Left femur;Chamber;Aranda Jimenez et al 2017, Tab 11;n/a;n/a;n/a;No;n/a
Spain;37,3574;-2,363482;1088064;4155239;South;La Atalaya 6;Rundgraber & calero tomb;With corridor;SUERC-69011;3959;25;-19,4;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 6;Funerary area;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated;No;n/a
Spain;37,3658;-3,2975;1005165;4150738;South;Panoria 10;Varia;Cistoid structure with corridor;ETH-69969;3959;24;-20,6;9;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 10. Funerary chamber. Left femur;Chamber;Aranda Jimenez et al 2017, Tab 10;n/a;n/a;n/a;No;n/a
Spain;37,36603377;-3,297615053;1005154;4150764;South;Panoria 8;Varia;Cistoid structure;ETH-71513;3959;26;-20,6;9,7;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Tomb 8. Funerary chamber (Phase I);Chamber;Aranda Jimenez et al 2017, Tab 6;n/a;n/a;n/a;No;n/a
Spain;39,9869;-4,2033;909607;4437335;Tagus basins;Valle de las Higueras 3;Rock-cut-tomb, artificial cave & hypogeum;n/a;Beta-205141;3860;40;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants mainly;Human bone;n/a;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;Bueno Ramirez et al 2010, Tab 3/Bueno Ramirez et al. 2010;n/a;No;n/a
Portugal;41,4839;-7,4019;633417;4593709;Duero basins;Mamoa do Castelo 1;Passage grave;n/a;CSIC-1815;3862;33;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Antechamber;Funerary area;Sanches et al 2005;n/a;Sanches et al 2005;n/a;No;n/a
Spain;41,17695193;-2,540366302;1041962;4578560;Duero basins;Tumulo de la Sima II;Tholos;n/a;KIA-18000;3862;25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Rojo et al 2008;n/a;Rojo et al 2008;n/a;No;n/a
Spain;36,96511165;-2,522866906;1076914;4110659;South;Los Millares 71;Tholos;n/a;SUERC-82840;3961;20;-19;10,9;n/a;n/a;n/a;n/a;n/a;Human teeth;Funerary chamber. Human Tooth 36 (adult);Chamber;Aranda Jimenez et al. 2020;n/a;Aranda Jimenez et al. 2020;Geographic coordinates approximated;No;n/a
Spain;36,96464562;-2,522645967;1076937;4110608;South;Los Millares 74;Tholos;n/a;ETH-89499;3963;27;-19,5;8,7;n/a;n/a;n/a;n/a;n/a;Human bone;Funerary chamber. Jaw (adult);Chamber;Aranda Jimenez et al. 2020;n/a;Aranda Jimenez et al. 2020;Geographic coordinates approximated;No;n/a
Spain;41,4977739;2,126926438;1429410;4654217;East;Carrer de Paris;Rock-cut-tomb, artificial cave & hypogeum;n/a;UBAR-860;3870;45;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Soriano 2016;n/a;Soriano 2016;n/a;No;n/a
Spain;36,96603656;-2,522871681;1076907;4110761;South;Los Millares 56;Tholos;n/a;CNA4438;3970;30;-19;9,5;n/a;n/a;n/a;n/a;n/a;Human bone;Funerary chamber;Chamber;Molina González et al. 2020;n/a;Molina González et al. 2020;Geographic coordinates approximated;No;n/a
Portugal;38,44180784;-7,547132;626791;4255835;South;Perdigões 2;Tholos;n/a;Beta-308793;3970;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Valera et al 2014/Emslie et al 2015;Valera et al 2014/Emslie et al 2015;Valera et al 2014/Emslie et al 2015/Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Portugal;38,68143291;-9,16267449;485850;4281438;Tagus basins;Sao Paulo 1;Rock-cut-tomb, artificial cave & hypogeum;n/a;UBAR-630;3870;70;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;"Silva 2002; Silva 2012";"Silva 2002; Silva 2012";Lozano Medina 2017;n/a;No;n/a
